"Name","Namespace","ParamRaw","Description"
"AISquad_GetStateModelEnumTablePBG","AISquad","SquadID aiSquad, String key, Integer tableRowIndex","Returns a pbg value from the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_GetStateModelEnumTablePlayerTarget","AISquad","SquadID aiSquad, String key, Integer tableRowIndex","Returns a Player value from the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_GetStateModelEnumTableSquadTarget","AISquad","SquadID aiSquad, String key, Integer tableRowIndex","Returns a Squad value from the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_GetStateModelEnumTableVector3f","AISquad","SquadID aiSquad, String key, Integer tableRowIndex","Returns a Vector3f value from the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_GetStateModelFloat","AISquad","SquadID aiSquad, String key","Returns a float value from the AISquad's state model corresponding to the given key."
"AISquad_GetStateModelInt","AISquad","SquadID aiSquad, String key","Returns an integer value from the AISquad's state model corresponding to the given key."
"AISquad_GetStateModelPBG","AISquad","SquadID aiSquad, String key","Returns a pbg value from the AISquad's state model corresponding to the given key."
"AISquad_GetStateModelPlayerTarget","AISquad","SquadID aiSquad, String key","Returns a Player value from the AISquad's state model corresponding to the given key."
"AISquad_GetStateModelSquadTarget","AISquad","SquadID aiSquad, String key","Returns a Squad value from the AISquad's state model corresponding to the given key."
"AISquad_GetStateModelVector3f","AISquad","SquadID aiSquad, String key","Returns a Vector3f value from the AISquad's state model corresponding to the given key."
"AISquad_HasBeenAttacked","AISquad","SquadID pAISquad, Integer historyTicks","Checks if the squad has been attacked within this time"
"AISquad_HasFiredWeapon","AISquad","SquadID pAISquad, Integer historyTicks","Checks if the squad has fired its weapon within this time"
"AISquad_HasPathWithinDistance","AISquad","SquadID aiSquad, Position targetPosition, Real maxDistance","Returns true if a path shorter than maxDistance between the AISquad and the target exists"
"AISquad_IsRunningSquadTacticAbility","AISquad","SquadID aiSquad, PropertyBagGroup abilityPBG","returns true if the AISquad is currently running the AISquadAbilityTactic for the passed abilityPBG"
"AISquad_SetStateModelBool","AISquad","SquadID aiSquad, String key, Boolean value","Sets a boolean value in the AISquad's state model corresponding to the given key."
"AISquad_SetStateModelEntityTarget","AISquad","SquadID aiSquad, String key, EntityID value","Sets an Entity TargetHandle value in the AISquad's state model corresponding to the given key."
"AISquad_SetStateModelEnumTableBool","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, Boolean value","Sets a boolean value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelEnumTableEntityTarget","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, EntityID value","Sets an Entity TargetHandle value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelEnumTableFloat","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, Real value","Sets a float value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelEnumTableInt","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, Integer value","Sets an integer value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelEnumTablePBG","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, PropertyBagGroup value","Sets a pbg value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelEnumTablePlayerTarget","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, PlayerID value","Sets a Player TargetHandle value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelEnumTableSquadTarget","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, SquadID value","Sets a Squad TargetHandle value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelEnumTableVector3f","AISquad","SquadID aiSquad, String key, Integer tableRowIndex, Position value","Sets a Vector3f value in the AISquad's state model corresponding to the given key and table row index (0 based)."
"AISquad_SetStateModelFloat","AISquad","SquadID aiSquad, String key, Real value","Sets a float value in the AISquad's state model corresponding to the given key."
"AISquad_SetStateModelInt","AISquad","SquadID aiSquad, String key, Integer value","Sets an integer value in the AISquad's state model corresponding to the given key."
"AISquad_SetStateModelPBG","AISquad","SquadID aiSquad, String key, PropertyBagGroup value","Sets a pbg value in the AISquad's state model corresponding to the given key."
"AISquad_SetStateModelPlayerTarget","AISquad","SquadID aiSquad, String key, PlayerID value","Sets a Player TargetHandle value in the AISquad's state model corresponding to the given key."
"AISquad_SetStateModelSquadTarget","AISquad","SquadID aiSquad, String key, SquadID value","Sets a Squad TargetHandle value in the AISquad's state model corresponding to the given key."
"AISquad_SetStateModelVector3f","AISquad","SquadID aiSquad, String key, Position value","Sets a Vector3f value in the AISquad's state model corresponding to the given key."
"AISquad_ShouldFallBackOrBraceSelf","AISquad","SquadID pAISquad","Checks if the squad should fall back or brace itself given the current situation."
"AIStateTree_SpawnRootControllerWithStateModelTunings","AIStateTree","PlayerID pPlayer, String openingBranchName, Boolean keepAlive, ScarAIStateModelTuningsPBG stateModelTuningsScarPBG, SGroupID stateModelSGroupListTunings, EGroupID stateModelEGroupListTunings, Position stateModelPositionTargetListTunings, MarkerID stateModelMarkerTargetListTunings, String list stateModelEntityTypeListTunings, LuaMap<ScarAIFormationCoordinatorPBG> stateModelCoordinatorPBGListTunings, Boolean stateModelBoolTunings, Real stateModelFloatTunings, Integer stateModelIntTunings","On the AIPlayer statetree, spawn a Root Controller with tunings that can be pushed onto the Root Controller's StateModel."
"AITactic_AdjustJumpSlideAbilityTarget","AITactic","SquadID aiSquad, PropertyBagGroup abilityPBG, Real slideOffset, Position targetPosition","calculates a valid target position for a jump slide ability"
"AITactic_AICommandSquadMove","AITactic","SquadID aiSquad, Position target, Real acceptableProximity, Boolean reverseMove","Issue an AI move command to a squad"
"AITactic_GetObjectiveTimerSeconds","AITactic","Integer objectiveID","Get the number of seconds on an objective timer."
"AITactic_GetTacticPriority","AITactic","SquadID pSquad, AITacticType tacticType","Get tactic priority for a squad."
"AllMarkers_FromName","AllMarkers","String name, String type","Returns all ScarMarkers from the Scenario Editor with the given name. If you don't care about the type, pass in an empty string ( """" )"
"App_ClearMovieModeFramerate","App","","Remove the movie mode framerate restriction"
"app_currenttime","app","","Return the current app time"
"app_setidealframerate","app","Integer frameRate","Set the ideal frame rate for the game. Set to 0 if an unbounded frame rate is desired."
"App_SetMovieModeFramerate","App","Integer frameRate","Run the game at specified frame rate (for capturing movies). Only works with 60 or 120, other rates are defaulted to 60. Setting it to 0 disables movie mode"
"BP_GenerateWave","BP","Player& player, String waveBpShortName, Real resourceMultiplier","Returns a table containing the unit composition of a wave. A list of units and the number of them that should spawned for a wave. Returns a table with rows containing the following fields - int id = the group idx that this entry came from in the wave bag - int archetypeGroupId = the enum id of the unit group defined in the wave bag for this entry - int archetypeId - the archetype that that has been chosen out of the archetypeGroupId - int count - the number of units to spawn - ScarSquadPBG sbp - the blueprint of the unit to spawn"
"BP_GetAbilityBlueprint","BP","String pbgShortname","Returns an ability property bag group."
"BP_GetAbilityBlueprintByPbgID","BP","Integer pbgID","Returns an ability property bag group."
"BP_GetAIAbilityBlueprint","BP","String pbgShortname","Returns an AIAbility property bag group."
"BP_GetAIAbilityBlueprintByPbgID","BP","Integer pbgID","Returns an AIAbility property bag group."
"BP_GetAIFormationCoordinatorBlueprint","BP","String pbgShortname","Returns an AIFormationCoordinator property bag group."
"BP_GetAIFormationCoordinatorBlueprintByPbgID","BP","Integer pbgID","Returns an AIFormationCoordinator property bag group."
"BP_GetAIFormationTargetPriorityBlueprint","BP","String pbgShortname","Returns an AIFormationTargetPriority property bag group."
"BP_GetAIFormationTargetPriorityBlueprintByPbgID","BP","Integer pbgID","Returns an AIFormationTargetPriority property bag group."
"BP_GetAIStateModelTuningsBlueprint","BP","String pbgShortname","Returns an AIStateModelTunings property bag group."
"BP_GetAIStateModelTuningsBlueprintByPbgID","BP","Integer pbgID","Returns an AIStateModelTunings property bag group."
"BP_GetBlueprintArchetypeTypename","BP","FamilyIndex index","Returns the string name of the BLUEPRINT_ARCHETYPE enum entry"
"BP_GetEntityArchetypeBlueprintForPlayer","BP","Player& player, FamilyIndex index","Returns an entity blueprint of type BLUEPRINT_ARCHETYPE index for the associated race for the player."
"BP_GetEntityArchetypeBlueprintForRace","BP","ScarRacePBG racePBG, FamilyIndex index","Returns an entity blueprint of type BLUEPRINT_ARCHETYPE index for the associated race."
"BP_GetEntityBlueprint","BP","String pbgShortname","Returns an entity property bag group."
"BP_GetEntityBlueprintByPbgID","BP","Integer pbgID","Returns an entity property bag group."
"BP_GetEntityBPBuildTime","BP","ScarEntityPBG entityBag","Returns the unmodified build time in seconds from cost_ext for a given entity blueprint."
"BP_GetEntityBPCost","BP","ScarEntityPBG entityBag","Returns the resource costs from cost_ext for a given entity blueprint."
"BP_GetEntityBPDefaultSpeed","BP","ScarEntityPBG entityBag, Boolean getModifiedSpeed, PlayerID player","Returns the default movement speed from moving_ext for a given entity blueprint. If getModifiedSpeed is true, the value will be modified by any speed_maximum_modifier applied to the player for the given entity blueprint."
"BP_GetEntityChildBlueprintAtIndex","BP","String pbgShortname, Integer index","Returns the child blueprint of the specified entity blueprint at specified index."
"BP_GetEntityChildBlueprintCount","BP","String pbgShortname","Returns the number of child blueprints of the specified entity blueprint."
"BP_GetEntityParentBlueprintAtIndex","BP","String pbgShortname, Integer index","Returns the parent blueprint of the specified entity blueprint at specified index"
"BP_GetEntityParentBlueprintCount","BP","String pbgShortname","Returns the number of parent blueprints of the specified entity blueprint."
"BP_GetEntityTypeExtRaceBlueprintAtIndex","BP","String pbgShortname, Integer index","Returns race blueprint associated with an entity blueprint type_ext at specified index."
"BP_GetEntityTypeExtRaceCount","BP","String pbgShortname","Returns the number of race blueprints associated with an entity blueprint type_ext."
"BP_GetEntityUIInfo","BP","ScarEntityPBG ebp","Returns a table containing the ui_ext info for given entity"
"BP_GetMapPoolBlueprint","BP","String pbgShortname","Returns a map pool property bag group."
"BP_GetMapPoolBlueprintByPbgID","BP","Integer pbgID","Returns a map pool property bag group."
"BP_GetMoveTypeBlueprint","BP","String pbgShortname","Returns a move type property bag group."
"BP_GetMoveTypeBlueprintByPbgID","BP","Integer pbgID","Returns a move type property bag group."
"BP_GetName","BP","PropertyBagGroup pbg","Return the short name of the group"
"BP_GetPassTypeBlueprint","BP","String pbgShortname","Returns an pass type property bag group."
"BP_GetPassTypeBlueprintByPbgID","BP","Integer pbgID","Returns an pass type property bag group."
"BP_GetPropertyBagGroupCount","BP","PropertyBagGroupType type","Return the number of property bag groups of the same type"
"BP_GetPropertyBagGroupPathName","BP","PropertyBagGroupType type, Integer index","Return the path name of the group at the specified index"
"BP_GetReticuleBlueprint","BP","String pbgShortname","Returns a UIReticuleBag property bag group."
"BP_GetSimulationFloatProperty","BP","String propertyName","Returns the float value stored for the given property name in the AE simulation tuning."
"BP_GetSimulationIntProperty","BP","String propertyName","Returns the int value stored for the given property name in the AE simulation tuning."
"BP_GetSlotItemBlueprint","BP","String pbgShortname","Returns a slot item property bag group."
"BP_GetSlotItemBlueprintByPbgID","BP","Integer pbgID","Returns a slot item property bag group."
"BP_GetSquadArchetypeBlueprintForPlayer","BP","Player& player, FamilyIndex index","Returns a squad blueprint of type BLUEPRINT_ARCHETYPE index for the associated race of the player."
"BP_GetSquadArchetypeBlueprintForRace","BP","ScarRacePBG racePBG, FamilyIndex index","Returns a squad blueprint of type BLUEPRINT_ARCHETYPE index for the associated race."
"BP_GetSquadBlueprint","BP","String pbgShortname","Returns a squad property bag group."
"BP_GetSquadBlueprintByPbgID","BP","String pbgID","Returns a squad property bag group."
"BP_GetSquadChildBlueprintAtIndex","BP","String pbgShortname, Integer index","Returns the child blueprint of the specified squad blueprint at specified index."
"BP_GetSquadChildBlueprintCount","BP","String pbgShortname","Returns the number of child blueprints of the specified squad blueprint."
"BP_GetSquadParentBlueprintAtIndex","BP","String pbgShortname, Integer index","Returns the parent blueprint of the specified squad blueprint at specified index"
"BP_GetSquadParentBlueprintCount","BP","String pbgShortname","Returns the number of parent blueprints of the specified squad blueprint."
"BP_GetSquadTypeExtRaceBlueprintAtIndex","BP","String pbgShortname, Integer index","Returns race blueprint associated with a squad blueprint squad_type_ext at specified index."
"BP_GetSquadTypeExtRaceCount","BP","String pbgShortname","Returns the number of race blueprints associated with a squad blueprint squad_type_ext."
"BP_GetSquadUIInfo","BP","ScarSquadPBG sbp, ScarRacePBG rbp","Returns a table containing the ui_ext info for given squad and race"
"BP_GetType","BP","StackVar v","Returns the type of a blueprint."
"BP_GetUpgradeBlueprint","BP","String pbgShortname","Returns an upgrade property bag group."
"BP_GetUpgradeBlueprintByPbgID","BP","Integer pbgID","Returns an upgrade property bag group."
"BP_GetUpgradeUIInfo","BP","ScarUpgradePBG ubp","Returns a table containing the ui_ext info for given upgrade"
"BP_GetWeaponBlueprint","BP","String pbgShortname","Returns a weapon property bag group."
"BP_GetWeaponBlueprintByPbgID","BP","Integer pbgID","Returns a weapon property bag group."
"BP_IsUpgradeOfType","BP","ScarUpgradePBG upgradePBG, String key","Returns true if the UpgradePGB's list of types includes the given type"
"Camera_ClampToMarker","Camera","MarkerID marker","Clamps the camera's target position to a marker."
"Camera_ExecuteBSplinePan","Camera","Real totalT, Boolean controlRotation","Execute spline pan based on queued control points. Use B-Spline interpolation of points"
"Camera_ExecuteCaptureCameraPan","Camera","StackVarTable cameraPanTable","Executes a camera pan that was captured using the Capture Tool. Expects that the ""camera_spline"" Camera set was pushed to the CameraSwitchboard, using Camera_Push(""camera_spline"") Returns the duration of the spline, so that the user can call Camera_Pop()"
"Camera_ExecuteCatromSplinePan","Camera","Real totalT, Boolean controlRotation","Execute spline pan based on queued control points. Use Catmull-Rom interpolation of points"
"Camera_ExecuteLinearSplinePan","Camera","Real totalT, Boolean controlRotation","Execute spline pan based on queued control points. Use linear interpolation between points"
"Camera_FocusOnPosition","Camera","Position position","Focus the camera on the specified position."
"Camera_FollowEntity","Camera","EntityID entity","Make the camera follow the specified entity."
"Camera_FollowSelection","Camera","","Make the camera follow the current full selection."
"Camera_FollowSquad","Camera","SquadID squad","Make the camera follow the specified squad."
"Camera_GetCurrentPos","Camera","","Get the current position for the camera. (Where the the camera currently is.)"
"Camera_GetCurrentTargetPos","Camera","","Get the current target position for the camera. (Where the the camera currently is.)"
"Camera_GetDeclination","Camera","","Get the current camera declination (tilt)."
"Camera_GetDefaultOrbit","Camera","","Get the default camera orbit (rotation)."
"Camera_GetOrbit","Camera","","Get the current camera orbit (rotation)."
"Camera_GetPivot","Camera","","Get the pivot of the camera. (The position about which the camera is pivoting)."
"Camera_GetTargetPos","Camera","","Get the desired target position for the camera. (Where the camera is trying to get to.)"
"Camera_GetZoomDist","Camera","","Get the current zoom distance for the camera."
"Camera_HideMesh","Camera","","Hide the camera mesh."
"Camera_IsInputEnabled","Camera","","Returns the enabled/disabled state of the camera input.  (not deterministic)"
"Camera_IsMeshShown","Camera","","Is the camera mesh being shown?"
"Camera_QueueRelativeSplinePanPos","Camera","Position deltaPos","Queue a spline control point by position relative to the last queued position. Pan is deferred until requested by an execution function"
"Camera_QueueSplinePanPos","Camera","Position pos","Queue a spline control point by absolute position. Pan is deferred until requested by an execution function"
"Camera_ResetFocus","Camera","","Make the camera stop following anything."
"Camera_ResetOrbit","Camera","","Set the current camera orbit relative to the current orbit (relative rotation)."
"Camera_ResetToDefault","Camera","","Reset camera position to default home position"
"Camera_SetDeclination","Camera","Real declination","Set the current camera declination (tilt)."
"Camera_SetDefaultDeclination","Camera","Real declination","Set the default camera declination (tilt)."
"Camera_SetDefaultOrbit","Camera","Real orbit","Set the default camera orbit (rotation)."
"Camera_SetDefaultZoomDist","Camera","Real distance","Set the default zoom distance for the camera."
"Camera_SetFov","Camera","Real fov","Set the current camera field of view (fov)"
"Camera_SetInputEnabled","Camera","Boolean enabled","Enables/disables camera input."
"Camera_SetOrbit","Camera","Real orbit","Set the current camera orbit (rotation)."
"Camera_SetOrbitRelative","Camera","Real deltaOrbit","Set the current camera orbit relative to the current orbit (relative rotation)."
"Camera_SetZoomDist","Camera","Real distance","Set the current zoom distance for the camera."
"Camera_ShowMesh","Camera","","Show the camera mesh."
"Camera_StartDeltaOrbit","Camera","Real deltaOrbit, Real totalT","Orbit the camera a given number of degrees clockwise from the current orbit position in a given amount of time."
"Camera_StartOrbit","Camera","Real endOrbit, Real totalT","Orbit the camera to an end orbit position from the current orbit position in a given amount of time. Will choose shortest rotational direction."
"Camera_StartPan","Camera","Position startPos, Position endPos, Real totalT, Real zoomDistance","Pan the camera between two positions in a given amount of time. Interpolates the camera to the given zoom."
"Camera_StartPanTo","Camera","Position endPos, Real totalT, Real zoomDistance","Pan the camera to a position in a given amount of time from the position in front of the queue."
"Camera_StartRelativePan","Camera","Position deltaPos, Real totalT, Real zoomDistance","Pan the camera by some amount in a given amount of time. This is relative to the position in front of the queue."
"Camera_StartRelativeZoomDist","Camera","Real deltaZoomDist, Real totalT","Start a transition to a relative zoom distance over a certain amount of time."
"Camera_StartZoomDist","Camera","Real startZoomDist, Real endZoomDist, Real totalT","Start a transition from one zoom distance to another over a certain amount of time."
"Camera_StartZoomDistTo","Camera","Real endZoomDist, Real totalT","Start a transition to a zoom distance over a certain amount of time."
"Camera_StopPan","Camera","","Stop an ongoing camera pan."
"Camera_ToggleDebugCamera","Camera","","Toggle the debug free camera"
"Camera_ToggleMeshShown","Camera","Boolean show","Toggle the camera mesh."
"Camera_Unclamp","Camera","","Frees up the camera (so it's not clamped to a marker anymore)."
"Cheat_GrantAllRibbonsAndMedals","Cheat","","Cheat to award all ribbons and medals"
"Cheat_ResetAchievementProgress","Cheat","","Cheat to reset all achievement progress"
"cmdline_string","cmdline","String name","Get the value for a command line arg."
"Command_PlayerBroadcastMessage","Command","PlayerID player, PlayerID dest, Integer messageType, String message","Send a message to a player with generic type a body"
"Cursor_Distance","Cursor","","Toggle cursor position distance drawring"
"Cursor_GetClearWeaponShotHistory","Cursor","","Toggle clearing of cursor over entity weapon shot history debug display"
"Cursor_GetDrawWeaponShotHistory","Cursor","","Toggle cursor over entity weapon shot history debug display"
"cursor_hide","cursor","","Hide the cursor"
"Cursor_Info","Cursor","","Toggle cursor position information"
"cursor_setposition","cursor","Real x, Real y","Set the cursor position"
"cursor_show","cursor","","Show the cursor"
"Cursor_WeaponInfo","Cursor","","Toggle cursor over entity weapon information"
"Cursor_WeaponRanges","Cursor","","Toggle cursor over entity weapon range information"
"dca_get_variable_value","dca","EntityID pEntity, String variableName","Get dca variable value for an entity. Can be used to validate presentation state from lua."
"Debug_IgnoreMouseOverCheck","Debug","","Toggles on or off under mouse check. If ignoring mouse check, all entities will have the enabled debug info displayed"
"Debug_ToggleControlAll","Debug","","Allows the local player to issue commands to any unit regardless of ownership."
"Debug_ToggleDebugTest","Debug","","Toggles on or off all debug test activity"
"Decal_Create","Decal","String decalName, Position position, Real xScale, Real yScale, Real zScale, Real rotationDegrees, Integer r, Integer g, Integer b, Integer a","Add a decal to the terrain. Returns a unique decal id allow for future removal via Decal_Destroy"
"Decal_Destroy","Decal","Integer decalID","Destroy a decal by unique id"
"Decal_GetInvalidID","Decal","","Get the Decal ID that represents an invalid decal (useful to check if creation failed)"
"Decal_GetNextDecalId","Decal","","Returns the current decal id in use; used in conjunction with Decal_RemoveAllDecalsAfterId"
"Decal_RemoveAllDecalsAfterId","Decal","Integer id","Erases all placed decals after id (inclusive); used in conjunction with Decal_GetNextDecalId"
"DisplayAdapterDatabase_CheckBoolOverride","DisplayAdapterDatabase","String setting","Query the display adapter database for a boolean setting override."
"DisplayAdapterDatabase_CheckFloatOverride","DisplayAdapterDatabase","String setting","Query the display adapter database for a floating-point setting override."
"DisplayAdapterDatabase_CheckIntOverride","DisplayAdapterDatabase","String setting","Query the display adapter database for an integer setting override."
"DisplayAdapterDatabase_CheckMinimumDriverVersion","DisplayAdapterDatabase","","Output the installed display adapter driver version, the required version for the current adapter, and whether or not the installed version is equal to or greater than the required one."
"DisplayAdapterDatabase_CheckUint16Override","DisplayAdapterDatabase","String setting","Query the display adapter database for a uint16 setting override."
"DisplayAdapterDatabase_CheckUint8Override","DisplayAdapterDatabase","String setting","Query the display adapter database for a uint8 setting override."
"DisplayAdapterDatabase_CheckUintOverride","DisplayAdapterDatabase","String setting","Query the display adapter database for a uint32 setting override."
"DisplayAdapterDatabase_GetAdapterFromID","DisplayAdapterDatabase","String vendor, String device, String subsystem, String revision","Query the display adapter database for information about a specified adapter."
"DisplayAdapterDatabase_GetAdapterID","DisplayAdapterDatabase","","Output basic information about the current display adapter."
"DisplayAdapterDatabase_GetAdapterMinimumDriverVersion","DisplayAdapterDatabase","String vendor, String device, String subsystem, String revision","Query the display adapter database for the minimum required driver version for a specified adapter."
"DisplayAdapterDatabase_GetCurrentAdapterPerformanceClass","DisplayAdapterDatabase","","Query the display adapter database for the performance class of the currently-installed display adapter."
"DisplayAdapterDatabase_GetDriverInfo","DisplayAdapterDatabase","","Output basic information about the currently installed display adapter driver."
"DisplayAdapterDatabase_GetPerformanceClass","DisplayAdapterDatabase","Real relativePerformance","Query the display adapter database for the performance class given a relative performance percentage."
"dr_clear","dr","String frame","Clear debug rendering."
"dr_drawCircle","dr","String frame, Real x, Real y, Real z, Real radius, Integer r, Integer g, Integer b","Draw a circle, positioned in 3D, aligned to scren."
"dr_drawline","dr","Position pos0, Position pos1, Integer r, Integer g, Integer b, StackVar svar","Draw line. If you don't pass in a name, TerrainLine is used."
"dr_setautoclear","dr","String frame, Boolean bEnable","Set auto clear for named frame."
"dr_setdisplay","dr","String frame, Boolean bEnable","Set display of named frame."
"dr_terraincircle","dr","Position pos, Real radius, Real r, Real g, Real b, Integer divs, String frame","Draw circle on terrain."
"dr_terraincirclewithlifetime","dr","Position pos, Real radius, Real r, Real g, Real b, Integer divs, String frame, Real lifetime","Draw circle on terrain with lifetime."
"dr_terrainrect","dr","Position pos, Real w, Real h, Real r, Real g, Real b, Real rads","Draw rectangle on terrian."
"dr_text2d","dr","String frame, Real x, Real y, String cmd, Integer r, Integer g, Integer b","Draw text, positioned in 2D, aligned to the screen."
"dr_text3d","dr","String frame, Real x, Real y, Real z, String cmd, Integer r, Integer g, Integer b","Draw text, positioned in 3D, aligned to screen."
"EBP_Exists","EBP","String pbgShortname","Returns true if an entity blueprint exists with the given name."
"EBP_IsOfRace","EBP","String pbgShortname, ScarRacePBG race","Returns whether the entity blueprint is of specified race"
"EBP_PopulationCost","EBP","PropertyBagGroup ebpUnit, PlayerID player, CapType type","get Entity blueprint pop cost, use CT_Personnel, CT_Vehicle, CT_Medic for captype"
"EGroup_Add","EGroup","EGroupID group, EntityID entity","Adds an entity to the end of a group if the group doesnt already have it."
"EGroup_AddEGroup","EGroup","EGroupID group, EGroupID grouptoadd","Appends the entities in one group to another group."
"EGroup_Clear","EGroup","EGroupID egroup","Removes all entities from a group"
"EGroup_Compare","EGroup","EGroupID group1, EGroupID group2","Returns true if the contents of the two groups are equal. Order of the entities does not matter."
"EGroup_Count","EGroup","EGroupID egroup","Returns the total number of spawned and despawned entities in a group."
"EGroup_CountDeSpawned","EGroup","EGroupID egroup","Returns the number of despawned entities in a group."
"EGroup_CountSpawned","EGroup","EGroupID egroup","Returns the number of spawned entities in a group."
"EGroup_Create","EGroup","String name","Returns a new entity group with the given name."
"EGroup_CreateUniqueWithPrefix","EGroup","String prefix","Returns a new entity group with an autogenerated unique name, optionally prefixed by the string passed in."
"EGroup_Destroy","EGroup","EGroupID egroup","Manually destroy a group that you don't need anymore."
"EGroup_Exists","EGroup","String name","Returns true if the entity group with the given name exists"
"EGroup_Filter_Internal","EGroup","EGroupID group, StackVar blueprints, ScarFilterType filterType, StackVar optionalSplitGroup","Internal implementation of EGroup_Filter for the purposes of optional arguments. Don't use directly, use EGroup_Filter"
"EGroup_FilterResource","EGroup","EGroupID group, String name, EGroupID resource","Filters EGroup with given name out of given EGroup into the resource EGroup."
"EGroup_ForEach","EGroup","EGroupID egroup, StackVarFunction f","Call a lua function for each item in a group. Function will recieve (groupid, itemindex, itemid) and should return true to break or false to continue."
"EGroup_ForEachAllOrAny","EGroup","EGroupID egroup, Boolean all, StackVarFunction f","Call a lua function for each item in a group. Function will receive (groupid, itemindex, itemid) and should return a bool."
"EGroup_ForEachAllOrAnyEx","EGroup","EGroupID egroup, Boolean all, StackVarFunction f, Boolean spawned, Boolean despawned","Same as EGroup_ForEachAllOrAny except you have a choice to iterate over spawned entities, despawned entities, or both."
"EGroup_ForEachEx","EGroup","EGroupID egroup, StackVarFunction f, Boolean spawned, Boolean despawned","Same as EGroup_ForEach except you have a choice to iterate over spawned entities, despawned entities, or both."
"EGroup_FromName","EGroup","String name","Find an entity group with a given name."
"EGroup_GetClosestEntityInternal","EGroup","EGroupID group, Vector3f position","Returns the closest entity of an entity group to the given position."
"EGroup_GetDeSpawnedEntityAt","EGroup","EGroupID group, Integer int","Returns the despawned entity at the given index."
"EGroup_GetEntityAt","EGroup","EGroupID group, Integer int","Returns the entity at the given index."
"EGroup_GetName","EGroup","EGroupID egroup","Returns the name of a given entity group."
"EGroup_GetPosition","EGroup","EGroupID group","Returns the center position of an entity group."
"EGroup_GetSpawnedEntityAt","EGroup","EGroupID group, Integer int","Returns the spawned entity at the given index."
"EGroup_Intersection","EGroup","EGroupID group, EGroupID grouptointersect","Performs a group intersection."
"EGroup_IsValid","EGroup","Integer egroupID","Check to see if an egroup still exists without needing the name."
"EGroup_Remove","EGroup","EGroupID group, EntityID entity","Removes an entity from a group."
"EGroup_RemoveAllMatching","EGroup","EGroupID group, EGroupID grouptocompare","Removes any entites that exist in both groups."
"EGroup_RemoveNonHoldEntities","EGroup","EGroupID egroup","Removes all the entities from the EGroup that don't have HoldExt on them"
"EGroup_SortBasedOnHealth","EGroup","EGroupID egroup, Boolean ascending","Sorts the EGroup based on health"
"Entity_ActiveCommandIs","Entity","EntityID entity, EntityCommandType cmdtype","Returns true if the active command is of the type we specified"
"Entity_AddAbility","Entity","EntityID entity, ScarAbilityPBG ability","Allows the entity to use this ability"
"Entity_AddResource","Entity","EntityID entity, Integer type, Real amount","Add a specific amount of a certain resource type to an entity."
"Entity_AdjustAbilityCooldown","Entity","EntityID entity, Integer tickAmount","Advance ability cooldown"
"Entity_BuildCycleList","Entity","","Builds the cycle list based on current tagged entity"
"Entity_CalcConstructionPlacement","Entity","ScarEntityPBG ebp, PlayerID ructingPlayer, Position inputPosition","Returns where a construction command would place a given ebp if the command was targeted at a given world position. Ignores checks for fog of war and unexplored areas since scripts often want to spawn entities in places the player cannot see. Returns a table with the following fields: - ScarPosition position: the position the building would be placed at - ScarPosition heading: the heading the building would be placed at. You can create a look-at position by adding position and facing together. - Boolean success: whether or not the construction placement would succeed"
"Entity_CalculatePassableSpawnPosition","Entity","EntityID entity, Position pos","pass in a entity and position to resolve the position into a open space position, if the position is not free, position returned will try to be the closest position near the original position"
"Entity_CanAttackNow","Entity","EntityID attacker, Position target","Returns whether an entity can attack a target without moving or turning."
"Entity_CancelProductionQueueItem","Entity","EntityID entity, Integer index","Cancels an item in a production queue.  Index 0 is the currently producing item."
"Entity_CanCurrentlyBeDamaged","Entity","EntityID entity","Check if an entity can currently be damaged."
"Entity_CanLoadSquad","Entity","EntityID entity, SquadID squad, Boolean assumeEmpty, Boolean assumeVisible","Check if the entity can load squad or not"
"Entity_CanSeeEntity","Entity","EntityID entity, EntityID target","Returns true if the distance between a target entity and the source entity is less than it entity's sight distance.  There is no LOS or FOW check."
"Entity_CanSeeSquad","Entity","EntityID entity, SquadID target","Returns true if the distance between a target squad and the source entity is less than it entity's sight distance.  There is no LOS or FOW check."
"Entity_CanTargetEntity","Entity","Entity& entity, Entity& target, Boolean checkFOW","Check if an entity can target and attack another entity."
